page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0176,"Saturday, December 19, 1891,",1,0,28,DATE,Absolute or relative dates or periods,,,,
0176,Florence,2,26,34,GPE,"Countries, cities, states",,,,
0176,Maurice Barrè’s,3,5,20,PERSON,"People, including fictional",,,,
0176,Sous l’oeil des Barbares,3,21,45,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0176,Pater,4,32,37,PERSON,"People, including fictional",,,,
0176,Costa,5,4,9,PERSON,"People, including fictional",,,,
0176,Uffizi,5,17,23,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0176,Titians,5,63,70,PERSON,"People, including fictional",,,,
0176,two,5,78,81,CARDINAL,Numerals that do not fall under another type,,,,
0176,Fiesole,6,32,39,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0176,Costa,7,0,5,PERSON,"People, including fictional",,,,
0176,evening,7,24,31,TIME,Times smaller than a day,,,,
0176,"Sunday, December 20, 1891",8,2,27,DATE,Absolute or relative dates or periods,,,,
0176,Florence,8,29,37,GPE,"Countries, cities, states",,,,
0176,the morning,9,8,19,TIME,Times smaller than a day,,,,
0176,S. Marco,9,23,31,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0176,Academy,9,40,47,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0176,the afternoon,10,3,16,TIME,Times smaller than a day,,,,
0176,Gertrude,10,37,45,PERSON,"People, including fictional",,,,
0176,B.,10,53,55,PERSON,"People, including fictional",,,,
0176,Voigt,10,61,66,PERSON,"People, including fictional",,,,
0176,the Journal des Goncourts,11,5,30,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0176,Costa,11,63,68,PERSON,"People, including fictional",,,,
0176,"Monday, December 21, 1891",12,0,25,DATE,Absolute or relative dates or periods,,,,
0176,Florence,12,27,35,GPE,"Countries, cities, states",,,,
0176,Uffizi,13,0,6,PERSON,"People, including fictional",,,,
0176,Venetian,13,39,47,NORP,Nationalities or religious or political groups,,,,
0176,Costa,14,24,29,PERSON,"People, including fictional",,,,
0176,Mill,16,5,9,PERSON,"People, including fictional",,,,
0176,Subjection [0177],16,13,30,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0176,"Tuesday, December 22, 1891",17,2,28,DATE,Absolute or relative dates or periods,,,,
0176,Florence,17,30,38,GPE,"Countries, cities, states",,,,
0176,S. Spirito,18,8,18,GPE,"Countries, cities, states",,,,
0176,Carmini,18,27,34,PRODUCT,"Objects, vehicles, foods, etc. (not services)",,,,
0176,San Miniato,18,64,75,GPE,"Countries, cities, states",,,,
0176,morning,18,83,90,TIME,Times smaller than a day,,,,
0176,Costa,20,10,15,PERSON,"People, including fictional",,,,
0176,Mlle Miranda,20,24,36,PERSON,"People, including fictional",,,,
0176,Costa,21,0,5,PERSON,"People, including fictional",,,,
0176,B.,22,0,2,PERSON,"People, including fictional",,,,
0176,Voigt,22,12,17,ORG,"Companies, agencies, institutions, etc.",,,,
0176,Ferrari,22,28,35,ORG,"Companies, agencies, institutions, etc.",,,,
0176,Arezzo,23,13,19,GPE,"Countries, cities, states",,,,
0176,"Wednesday, December 23, 1891",24,2,30,DATE,Absolute or relative dates or periods,,,,
