page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0308,"Friday, October 7, 1892",1,2,25,DATE,Absolute or relative dates or periods,,,,
0308,Albergo Monaco,1,27,41,GPE,"Countries, cities, states",,,,
0308,Venice,1,43,49,GPE,"Countries, cities, states",,,,
0308,Salute,2,0,6,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,Gesuati,2,8,15,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,San Sebastiano,2,17,31,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,morning,2,65,72,TIME,Times smaller than a day,,,,
0308,Doge’s Palace,2,74,87,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,Lido,2,92,96,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,evening,3,3,10,TIME,Times smaller than a day,,,,
0308,Salons of the XIV and,3,23,44,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0308,XV,3,45,47,ORDINAL,"""first"", ""second"", etc.",,,,
0308,Bernhard,3,64,72,PERSON,"People, including fictional",,,,
0308,Eastlake,3,78,86,PERSON,"People, including fictional",,,,
0308,Oil-Painting,3,89,101,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0308,Michael Field,4,12,25,PERSON,"People, including fictional",,,,
0308,"Saturday, October 8, 1892",5,3,28,DATE,Absolute or relative dates or periods,,,,
0308,Venice,5,30,36,GPE,"Countries, cities, states",,,,
0308,Santa Maria Zobenigo,6,0,20,GPE,"Countries, cities, states",,,,
0308,San Stefano,6,22,33,GPE,"Countries, cities, states",,,,
0308,San Fantino,6,35,46,GPE,"Countries, cities, states",,,,
0308,S. Leo,6,48,54,GPE,"Countries, cities, states",,,,
0308,Rialto,6,73,79,GPE,"Countries, cities, states",,,,
0308,S. Giovanni Crisostomo,6,81,103,GPE,"Countries, cities, states",,,,
0308,S. Cassiano,6,105,116,GPE,"Countries, cities, states",,,,
0308,S. Giacomo,6,118,128,GPE,"Countries, cities, states",,,,
0308,Orio,6,132,136,GPE,"Countries, cities, states",,,,
0308,the morning,6,140,151,TIME,Times smaller than a day,,,,
0308,the afternoon,7,3,16,TIME,Times smaller than a day,,,,
0308,Lido,7,36,40,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,Bernhard,7,64,72,PERSON,"People, including fictional",,,,
0308,Balfour,8,8,15,PERSON,"People, including fictional",,,,
0308,Essay in Progress,8,18,35,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0308,the evening,9,3,14,TIME,Times smaller than a day,,,,
0308,Salons,9,34,40,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0308,Bernhard,9,46,54,PERSON,"People, including fictional",,,,
0308,Eastlake,9,60,68,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0308,"Sunday, October 9, 1892",10,0,23,DATE,Absolute or relative dates or periods,,,,
0308,Venice,10,25,31,GPE,"Countries, cities, states",,,,
0308,Correr,11,8,14,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,S. Marcuolo,11,16,27,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,S. Giobbe,11,32,41,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,the morning,11,45,56,TIME,Times smaller than a day,,,,
0308,the Querini-Stampalia,11,62,83,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,Lido,11,88,92,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,afternoon,11,100,109,TIME,Times smaller than a day,,,,
0308,Balfour,12,7,14,PERSON,"People, including fictional",,,,
0308,Progress,12,18,26,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0308,evening,13,23,30,TIME,Times smaller than a day,,,,
0308,Charles V,14,16,25,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0308,Bernhard,14,30,38,PERSON,"People, including fictional",,,,
0308,Eastlake,14,45,53,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0308,"Monday, October 10, 1892",15,2,26,DATE,Absolute or relative dates or periods,,,,
0308,Venice,15,28,34,GPE,"Countries, cities, states",,,,
0308,S. Vitale,16,0,9,ORG,"Companies, agencies, institutions, etc.",,,,
0308,S. Pantaleone,16,11,24,ORG,"Companies, agencies, institutions, etc.",,,,
0308,S. Polo,16,26,33,ORG,"Companies, agencies, institutions, etc.",,,,
0308,Frari,16,35,40,GPE,"Countries, cities, states",,,,
0308,the morning,16,44,55,TIME,Times smaller than a day,,,,
0308,S. Catarina,16,57,68,ORG,"Companies, agencies, institutions, etc.",,,,
0308,S. Maria del Orto,16,73,90,ORG,"Companies, agencies, institutions, etc.",,,,
0308,the afternoon,16,94,107,TIME,Times smaller than a day,,,,
0308,the evening,17,19,30,TIME,Times smaller than a day,,,,
