page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0160,"Monday, November 9, 1891",1,0,24,DATE,Absolute or relative dates or periods,,,,
0160,Maximilianplatz 4,1,44,61,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0160,Vienna,1,63,69,GPE,"Countries, cities, states",,,,
0160,Costa,3,0,5,PERSON,"People, including fictional",,,,
0160,B.,3,10,12,PERSON,"People, including fictional",,,,
0160,Titian,3,21,27,PERSON,"People, including fictional",,,,
0160,Janet,4,0,5,PERSON,"People, including fictional",,,,
0160,Berenson,4,57,65,PERSON,"People, including fictional",,,,
0160,Jesuits,4,79,86,NORP,Nationalities or religious or political groups,,,,
0160,Janet,4,214,219,PERSON,"People, including fictional",,,,
0160,"Tuesday, November 10, 1891",5,0,26,DATE,Absolute or relative dates or periods,,,,
0160,Vienna,5,28,34,GPE,"Countries, cities, states",,,,
0160,Lichtenstein,6,15,27,GPE,"Countries, cities, states",,,,
0160,Verocchio,6,68,77,PERSON,"People, including fictional",,,,
0160,Savoldo,6,91,98,PERSON,"People, including fictional",,,,
0160,Janet,8,9,14,PERSON,"People, including fictional",,,,
0160,Wickhoff,9,0,8,PERSON,"People, including fictional",,,,
0160,Goncourt,10,5,13,PERSON,"People, including fictional",,,,
0160,Journal,10,16,23,WORK_OF_ART,"Titles of books, songs, etc.",,,,
