page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0309,"Tuesday, October 11, 1892",1,0,25,DATE,Absolute or relative dates or periods,,,,
0309,Venice,1,27,33,GPE,"Countries, cities, states",,,,
0309,less than half,2,19,33,CARDINAL,Numerals that do not fall under another type,,,,
0309,Burke,3,88,93,PERSON,"People, including fictional",,,,
0309,Seminario,4,20,29,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0309,Bernhard,4,64,72,PERSON,"People, including fictional",,,,
0309,Academy,5,27,34,ORG,"Companies, agencies, institutions, etc.",,,,
0309,Bernhard,6,5,13,PERSON,"People, including fictional",,,,
0309,Robertson,7,5,14,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0309,Eastlake,7,19,27,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0309,Bernhard,8,0,8,PERSON,"People, including fictional",,,,
0309,Maude,8,18,23,PERSON,"People, including fictional",,,,
0309,"Wednesday, October 12, 1892",9,0,27,DATE,Absolute or relative dates or periods,,,,
0309,Venice,9,29,35,GPE,"Countries, cities, states",,,,
0309,Gallery,10,0,7,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0309,Doge’s Palace,10,23,36,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0309,afternoon,10,44,53,TIME,Times smaller than a day,,,,
0309,Bernhard,11,0,8,PERSON,"People, including fictional",,,,
0309,Burke,11,31,36,PERSON,"People, including fictional",,,,
0309,Charles V.,12,11,21,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0309,the evening,13,20,31,TIME,Times smaller than a day,,,,
0309,"Thursday, October 13, 1892",15,0,26,DATE,Absolute or relative dates or periods,,,,
0309,Hotel San Marco,15,28,43,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0309,Ravenna,15,45,52,GPE,"Countries, cities, states",,,,
0309,Paolo,16,60,65,PERSON,"People, including fictional",,,,
0309,Santo,17,5,10,PERSON,"People, including fictional",,,,
0309,Bernhard,17,34,42,PERSON,"People, including fictional",,,,
0309,an Alvise Vivarini,17,54,72,PERSON,"People, including fictional",,,,
0309,Speranza,17,110,118,PERSON,"People, including fictional",,,,
0309,last year’s,17,131,142,DATE,Absolute or relative dates or periods,,,,
0309,Filippo da Verona,17,170,187,PERSON,"People, including fictional",,,,
0309,Arena,18,20,25,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0309,Giottos,18,38,45,PERSON,"People, including fictional",,,,
0309,3 o’clock,18,65,74,TIME,Times smaller than a day,,,,
0309,7.30,18,94,98,TIME,Times smaller than a day,,,,
0309,Morley,19,7,13,PERSON,"People, including fictional",,,,
