page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0254,"Wednesday, April 13, 1892",1,2,27,DATE,Absolute or relative dates or periods,,,,
0254,Florence,1,29,37,GPE,"Countries, cities, states",,,,
0254,Bernhard,2,14,22,PERSON,"People, including fictional",,,,
0254,Albinia Hobart-Hampton,2,134,156,PERSON,"People, including fictional",,,,
0254,Bronzino,2,373,381,PERSON,"People, including fictional",,,,
0254,Bernhard,3,0,8,PERSON,"People, including fictional",,,,
0254,Venetian School,3,48,63,ORG,"Companies, agencies, institutions, etc.",,,,
0254,Loeser,4,49,55,PERSON,"People, including fictional",,,,
0254,Juliet,4,90,96,PERSON,"People, including fictional",,,,
0254,Sumner,4,106,112,PERSON,"People, including fictional",,,,
0254,Perugia,4,155,162,GPE,"Countries, cities, states",,,,
0254,today,4,163,168,DATE,Absolute or relative dates or periods,,,,
0254,Juliet,4,178,184,PERSON,"People, including fictional",,,,
0254,yesterday,4,200,209,DATE,Absolute or relative dates or periods,,,,
0254,A few days ago,5,0,14,DATE,Absolute or relative dates or periods,,,,
0254,Way,5,28,31,PERSON,"People, including fictional",,,,
0254,Way,5,107,110,PERSON,"People, including fictional",,,,
0254,French,5,457,463,NORP,Nationalities or religious or political groups,,,,
0254,Way,5,885,888,PERSON,"People, including fictional",,,,
0254,Huysmans,6,0,8,PERSON,"People, including fictional",,,,
0254,Un Ménage,6,13,22,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0254,Way,6,241,244,PERSON,"People, including fictional",,,,
0254,B.,6,324,326,PERSON,"People, including fictional",,,,
0254,the evening,7,3,14,TIME,Times smaller than a day,,,,
0254,Bernhard,7,15,23,PERSON,"People, including fictional",,,,
