page,text,p,start,end,type,description,wikidata,viaf,loc,notes
137,"Sunday, October 18, 1891",1,2,26,DATE,Absolute or relative dates or periods,,,,
137,Venice,1,28,34,GPE,"Countries, cities, states",,,,
137,B.,2,0,2,PERSON,"People, including fictional",,,,
137,Mlles Jackowska,2,8,23,PERSON,"People, including fictional",,,,
137,Mercier,2,28,35,PERSON,"People, including fictional",,,,
137,Academy,2,43,50,ORG,"Companies, agencies, institutions, etc.",,,,
137,Mlle Mercier,2,52,64,PERSON,"People, including fictional",,,,
137,Bliss,3,12,17,PERSON,"People, including fictional",,,,
137,San Marco,3,21,30,FAC,"Buildings, airports, highways, bridges, etc.",,,,
137,S. Giorgio Maggiore,3,32,51,ORG,"Companies, agencies, institutions, etc.",,,,
137,Salute,3,57,63,FAC,"Buildings, airports, highways, bridges, etc.",,,,
137,Academy,3,72,79,FAC,"Buildings, airports, highways, bridges, etc.",,,,
137,the afternoon,4,3,16,TIME,Times smaller than a day,,,,
137,Florian’s,4,31,40,ORG,"Companies, agencies, institutions, etc.",,,,
137,the evening,5,3,14,TIME,Times smaller than a day,,,,
137,Dans l’Inde,5,36,47,WORK_OF_ART,"Titles of books, songs, etc.",,,,
137,André Chevrillon,5,51,67,PERSON,"People, including fictional",,,,
137,B.,6,1,3,PERSON,"People, including fictional",,,,
137,Horatio Brown,6,9,22,PERSON,"People, including fictional",,,,
137,"Monday, October 19, 1891",7,0,24,DATE,Absolute or relative dates or periods,,,,
137,Venice,7,26,32,GPE,"Countries, cities, states",,,,
137,the morning,8,8,19,TIME,Times smaller than a day,,,,
137,S. Silvestro,8,23,35,ORG,"Companies, agencies, institutions, etc.",,,,
137,S. Giovanni Elemosinario,8,37,61,PERSON,"People, including fictional",,,,
137,S. Maria Mater Domini,8,63,84,PERSON,"People, including fictional",,,,
137,Giacomo,8,86,93,PERSON,"People, including fictional",,,,
137,Orio,8,97,101,GPE,"Countries, cities, states",,,,
137,S. Simone Profeta,8,103,120,PERSON,"People, including fictional",,,,
137,Palazzo Labia,8,122,135,PERSON,"People, including fictional",,,,
137,Correr,8,140,146,PERSON,"People, including fictional",,,,
137,Doge’s Palace,9,0,13,FAC,"Buildings, airports, highways, bridges, etc.",,,,
137,the afternoon,9,17,30,TIME,Times smaller than a day,,,,
137,Costa,9,52,57,PERSON,"People, including fictional",,,,
137,Dans l’Inde,10,9,20,PRODUCT,"Objects, vehicles, foods, etc. (not services)",,,,
