page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0288,14,1,0,2,CARDINAL,Numerals that do not fall under another type,,,,
0288,rue de la Grande Chaumière,1,3,29,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,Paris,1,31,36,GPE,"Countries, cities, states",,,,
0288,"Tuesday, August 23, 1892",1,39,63,DATE,Absolute or relative dates or periods,,,,
0288,Adolfe,2,43,49,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0288,Laudonzy,4,11,19,PERSON,"People, including fictional",,,,
0288,4,4,23,24,TIME,Times smaller than a day,,,,
0288,Bernhard,5,0,8,PERSON,"People, including fictional",,,,
0288,Bôcher,5,20,26,PERSON,"People, including fictional",,,,
0288,"Wednesday, August 24, 1892",6,2,28,DATE,Absolute or relative dates or periods,,,,
0288,Paris,6,30,35,GPE,"Countries, cities, states",,,,
0288,A dreadful day,7,0,14,DATE,Absolute or relative dates or periods,,,,
0288,all day,7,51,58,DATE,Absolute or relative dates or periods,,,,
0288,"Thursday, August 25, 1892",8,0,25,DATE,Absolute or relative dates or periods,,,,
0288,Paris,8,27,32,GPE,"Countries, cities, states",,,,
0288,Burke,9,18,23,PERSON,"People, including fictional",,,,
0288,Bernhard,9,60,68,PERSON,"People, including fictional",,,,
0288,Durand-Ruel’s,9,81,94,ORG,"Companies, agencies, institutions, etc.",,,,
0288,the Hotel de Ville,10,25,43,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,Lerolles,10,60,68,PERSON,"People, including fictional",,,,
0288,La Bête Humaine,12,7,22,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0288,Zola,14,28,32,PERSON,"People, including fictional",,,,
0288,L’Oeuvre,14,64,72,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0288,La Curée,15,1,9,ORG,"Companies, agencies, institutions, etc.",,,,
0288,Germinal,15,11,19,ORG,"Companies, agencies, institutions, etc.",,,,
0288,Nana,15,21,25,ORG,"Companies, agencies, institutions, etc.",,,,
0288,La Faute de l’Abbé Mouret,15,27,52,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,La Rêve,15,54,61,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,Pot-Bouille,15,63,74,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,La Joie de Vivre,15,76,92,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,Au Bonheur des Dames,15,94,114,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,Les Contes à Ninon,15,116,134,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0288,Bernhard,17,0,8,PERSON,"People, including fictional",,,,
0288,Germinie Lacerteux,17,20,38,PERSON,"People, including fictional",,,,
0288,second,18,35,41,ORDINAL,"""first"", ""second"", etc.",,,,
0288,Creighton’s History of the Papacy,18,48,81,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0288,Burke,20,0,5,PERSON,"People, including fictional",,,,
