page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0188,"Wednesday, January 13, 1892",1,0,27,DATE,Absolute or relative dates or periods,,,,
0188,Florence,1,29,37,GPE,"Countries, cities, states",,,,
0188,Pitti,2,0,5,PERSON,"People, including fictional",,,,
0188,the morning,2,9,20,TIME,Times smaller than a day,,,,
0188,Paris,2,49,54,GPE,"Countries, cities, states",,,,
0188,B.,3,0,2,PERSON,"People, including fictional",,,,
0188,Costa,3,11,16,PERSON,"People, including fictional",,,,
0188,Albinia,3,46,53,PERSON,"People, including fictional",,,,
0188,Uffizi,3,61,67,PERSON,"People, including fictional",,,,
0188,Gertrude,3,90,98,PERSON,"People, including fictional",,,,
0188,Loeser,4,0,6,PERSON,"People, including fictional",,,,
0188,Lionardo,4,58,66,PERSON,"People, including fictional",,,,
0188,"Thursday, January 14, 1892",5,2,28,DATE,Absolute or relative dates or periods,,,,
0188,Florence,5,30,38,GPE,"Countries, cities, states",,,,
0188,Pitti,6,0,5,GPE,"Countries, cities, states",,,,
0188,the morning,6,9,20,TIME,Times smaller than a day,,,,
0188,Farnell,7,5,12,PERSON,"People, including fictional",,,,
0188,Mitchell,7,21,29,PERSON,"People, including fictional",,,,
0188,afternoon,7,40,49,TIME,Times smaller than a day,,,,
0188,B.,8,0,2,PERSON,"People, including fictional",,,,
0188,Costa,8,13,18,PERSON,"People, including fictional",,,,
0188,the evening,9,3,14,TIME,Times smaller than a day,,,,
0188,Paris,9,31,36,GPE,"Countries, cities, states",,,,
0188,the Michael Fields,9,62,80,PERSON,"People, including fictional",,,,
0188,"Friday, January 15, 1892",10,0,24,DATE,Absolute or relative dates or periods,,,,
0188,Florence,10,26,34,GPE,"Countries, cities, states",,,,
0188,Pitti,11,0,5,GPE,"Countries, cities, states",,,,
0188,morning,11,13,20,TIME,Times smaller than a day,,,,
0188,Venetians,11,35,44,NORP,Nationalities or religious or political groups,,,,
0188,Farnell,11,58,65,PERSON,"People, including fictional",,,,
0188,B.,11,98,100,PERSON,"People, including fictional",,,,
0188,B.,12,0,2,PERSON,"People, including fictional",,,,
0188,Costa,12,13,18,PERSON,"People, including fictional",,,,
0188,Burckhardt,13,56,66,PERSON,"People, including fictional",,,,
0188,"Saturday, January 16, 1892",15,0,26,DATE,Absolute or relative dates or periods,,,,
0188,Florence,15,28,36,GPE,"Countries, cities, states",,,,
0188,Venetians,16,13,22,NORP,Nationalities or religious or political groups,,,,
0188,Pitti,16,30,35,NORP,Nationalities or religious or political groups,,,,
0188,B.,17,0,2,PERSON,"People, including fictional",,,,
0188,Costa,17,15,20,PERSON,"People, including fictional",,,,
0188,Gertrude,17,34,42,PERSON,"People, including fictional",,,,
0188,Vol. I,18,38,44,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0188,Yriarte,18,48,55,PERSON,"People, including fictional",,,,
0188,César Borgia,18,58,70,PERSON,"People, including fictional",,,,
0188,B.,20,0,2,PERSON,"People, including fictional",,,,
0188,Pruritanic,20,22,32,NORP,Nationalities or religious or political groups,,,,
0188,Le Barbre de Seville,20,51,71,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0188,Loeser,20,77,83,PERSON,"People, including fictional",,,,
0188,"Sunday, January 17, 1892",21,0,24,DATE,Absolute or relative dates or periods,,,,
0188,Florence,21,26,34,GPE,"Countries, cities, states",,,,
0188,Bargello,22,0,8,PERSON,"People, including fictional",,,,
0188,morning,22,16,23,TIME,Times smaller than a day,,,,
0188,Loeser,23,9,15,PERSON,"People, including fictional",,,,
0188,24 Lungarno Acciajuoli,23,19,41,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0188,Bernhard,23,43,51,PERSON,"People, including fictional",,,,
0188,two,23,70,73,CARDINAL,Numerals that do not fall under another type,,,,
0188,Ways,23,98,102,PERSON,"People, including fictional",,,,
0188,Turkish,23,142,149,NORP,Nationalities or religious or political groups,,,,
0188,Bernhard,23,156,164,PERSON,"People, including fictional",,,,
0188,Way,23,180,183,PERSON,"People, including fictional",,,,
0188,Loeser,23,205,211,PERSON,"People, including fictional",,,,
0188,the evening,24,3,14,TIME,Times smaller than a day,,,,
0188,Layard and Crowe and,24,22,42,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0188,Cavalcaselle,24,43,55,PERSON,"People, including fictional",,,,
0188,Lorenzo Monaco,24,59,73,PERSON,"People, including fictional",,,,
0188,Prescott,24,79,87,PERSON,"People, including fictional",,,,
0188,Charles VIII,24,105,117,PERSON,"People, including fictional",,,,
0188,Italy,24,121,126,GPE,"Countries, cities, states",,,,
0188,Bernhard,26,7,15,PERSON,"People, including fictional",,,,
