page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0270,"Wednesday, May 11, 1892",1,2,25,DATE,Absolute or relative dates or periods,,,,
0270,Albergo Discordia,1,27,44,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0270,Bergamo,1,46,53,GPE,"Countries, cities, states",,,,
0270,Tuesday,2,18,25,DATE,Absolute or relative dates or periods,,,,
0270,San Bartolomeo,3,0,14,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0270,San Giovanni,3,36,48,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0270,Tiepolos,3,168,176,ORG,"Companies, agencies, institutions, etc.",,,,
0270,the Colleoni Chapel,3,180,199,ORG,"Companies, agencies, institutions, etc.",,,,
0270,the afternoon,4,3,16,TIME,Times smaller than a day,,,,
0270,Castello,4,74,82,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0270,the evening,5,10,21,TIME,Times smaller than a day,,,,
0270,"Thursday, May 12, 1892",6,2,24,DATE,Absolute or relative dates or periods,,,,
0270,Bergamo,6,26,33,GPE,"Countries, cities, states",,,,
0270,Gallery,7,38,45,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0270,4,8,26,27,TIME,Times smaller than a day,,,,
0270,Trescorre,8,44,53,GPE,"Countries, cities, states",,,,
0270,Lottos,8,65,71,PERSON,"People, including fictional",,,,
0270,Suardi,8,89,95,PERSON,"People, including fictional",,,,
0270,Lotto,8,125,130,PERSON,"People, including fictional",,,,
0270,Costa,9,7,12,PERSON,"People, including fictional",,,,
0270,Frizzoni,9,17,25,PERSON,"People, including fictional",,,,
0270,the evening,10,38,49,TIME,Times smaller than a day,,,,
0270,"Friday, May 13, 1892",11,2,22,DATE,Absolute or relative dates or periods,,,,
0270,Milano,11,24,30,GPE,"Countries, cities, states",,,,
0270,Brera,12,0,5,PERSON,"People, including fictional",,,,
0270,Poldi-Pezzoli,12,7,20,ORG,"Companies, agencies, institutions, etc.",,,,
0270,Borromeo Collection,12,22,41,ORG,"Companies, agencies, institutions, etc.",,,,
0270,Tiepolo’s,12,43,52,ORG,"Companies, agencies, institutions, etc.",,,,
0270,Jens Thiis,14,13,23,PERSON,"People, including fictional",,,,
0270,Bernhard,14,156,164,PERSON,"People, including fictional",,,,
0270,Florentines,14,174,185,NORP,Nationalities or religious or political groups,,,,
0270,Botticelli,14,231,241,PERSON,"People, including fictional",,,,
0270,7.30,15,24,28,TIME,Times smaller than a day,,,,
0270,10.20,15,58,63,TIME,Times smaller than a day,,,,
0270,Bernhard,15,73,81,PERSON,"People, including fictional",,,,
0270,the Bella Venezia,15,85,102,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0270,"Saturday, May 14, 1892",16,0,22,DATE,Absolute or relative dates or periods,,,,
0270,Milan,16,24,29,GPE,"Countries, cities, states",,,,
0270,Paris,16,40,45,GPE,"Countries, cities, states",,,,
0270,An awful day,17,0,12,DATE,Absolute or relative dates or periods,,,,
0270,Paris,18,10,15,GPE,"Countries, cities, states",,,,
0270,6.30,18,19,23,TIME,Times smaller than a day,,,,
0270,Logan,18,36,41,PERSON,"People, including fictional",,,,
0270,14,18,55,57,CARDINAL,Numerals that do not fall under another type,,,,
0270,rue de la Grande Chaumière,18,58,84,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0270,Bernhard,20,75,83,PERSON,"People, including fictional",,,,
0270,May 15 to June 9,21,17,33,DATE,Absolute or relative dates or periods,,,,
