page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0415,"Wednesday, September 13, 1893",1,0,29,DATE,Absolute or relative dates or periods,,,,
0415,Hotel delle Adiarylpi,1,31,52,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Belluno,1,54,61,GPE,"Countries, cities, states",,,,
0415,Catulle Mendès,2,11,25,PERSON,"People, including fictional",,,,
0415,Bernhard,3,18,26,PERSON,"People, including fictional",,,,
0415,French,3,36,42,LANGUAGE,Any named language,,,,
0415,5 hours,7,16,23,TIME,Times smaller than a day,,,,
0415,4 francs,7,25,33,MONEY,"Monetary values, including unit",,,,
0415,Lengarene,7,81,90,GPE,"Countries, cities, states",,,,
0415,1511,7,147,151,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Tullio Lombardi,7,153,168,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,pre-Palladian,7,182,195,NORP,Nationalities or religious or political groups,,,,
0415,Italy,8,22,27,GPE,"Countries, cities, states",,,,
0415,"Thursday, September 14, 1893",9,0,28,DATE,Absolute or relative dates or periods,,,,
0415,Hotel Belle Vedere,9,33,51,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Concord,10,49,56,LOC,"Non-GPE locations, mountain ranges, bodies of water",,,,
0415,Mat. da Feltre,11,48,62,PERSON,"People, including fictional",,,,
0415,Mayhem,12,43,49,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Sacristy,12,75,83,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,"Friday, September 15, 1893",13,0,26,DATE,Absolute or relative dates or periods,,,,
0415,Albergo,13,28,35,GPE,"Countries, cities, states",,,,
0415,Asolo,13,37,42,GPE,"Countries, cities, states",,,,
0415,Moriarty,14,11,19,PERSON,"People, including fictional",,,,
0415,Dean Swift,14,22,32,PERSON,"People, including fictional",,,,
0415,Cornuda,16,11,18,GPE,"Countries, cities, states",,,,
0415,the Villa Maser,16,27,42,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Browning,17,7,15,PERSON,"People, including fictional",,,,
0415,"Saturday, September 16, 1893",18,0,28,DATE,Absolute or relative dates or periods,,,,
0415,Sant’Antonio,18,30,42,GPE,"Countries, cities, states",,,,
0415,Bassano,18,44,51,GPE,"Countries, cities, states",,,,
0415,Asolo,19,4,9,PERSON,"People, including fictional",,,,
0415,Possagno,20,4,12,GPE,"Countries, cities, states",,,,
0415,Canova,20,18,24,PERSON,"People, including fictional",,,,
0415,Crespano,20,39,47,GPE,"Countries, cities, states",,,,
0415,Hapgood,22,0,7,PERSON,"People, including fictional",,,,
0415,"Sunday, September 17, 1893",23,0,26,DATE,Absolute or relative dates or periods,,,,
0415,Tre Garofani,23,28,40,GPE,"Countries, cities, states",,,,
0415,Vicenza,23,42,49,GPE,"Countries, cities, states",,,,
0415,Bassano,25,8,15,PERSON,"People, including fictional",,,,
0415,sunset,25,43,49,TIME,Times smaller than a day,,,,
0415,all night,26,46,55,TIME,Times smaller than a day,,,,
0415,"Monday, September 18, 1893",27,0,26,DATE,Absolute or relative dates or periods,,,,
0415,Roma,27,28,32,GPE,"Countries, cities, states",,,,
0415,Cittadella,27,34,44,GPE,"Countries, cities, states",,,,
0415,Vicenza,28,16,23,GPE,"Countries, cities, states",,,,
0415,the Villa Valmarana,29,14,33,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Rotonda,29,35,42,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Monte Berico,29,48,60,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,evening,30,17,24,TIME,Times smaller than a day,,,,
0415,"Tuesday, September 19, 1893",31,0,27,DATE,Absolute or relative dates or periods,,,,
0415,Stella d’Oro,31,29,41,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Treviso,31,43,50,GPE,"Countries, cities, states",,,,
0415,Cittadella,32,4,14,PERSON,"People, including fictional",,,,
0415,Campo San Pierro,32,16,32,PERSON,"People, including fictional",,,,
0415,Castelfranco,32,37,49,PERSON,"People, including fictional",,,,
0415,"Wednesday, September 20, 1893",34,2,31,DATE,Absolute or relative dates or periods,,,,
0415,Europa,34,33,39,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,Conegliano,34,41,51,GPE,"Countries, cities, states",,,,
0415,Treviso,35,6,13,PERSON,"People, including fictional",,,,
0415,Municipio,36,59,68,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0415,"Thursday, September 21, 1893",38,0,28,DATE,Absolute or relative dates or periods,,,,
0415,Monaco,38,40,46,GPE,"Countries, cities, states",,,,
0415,Venice,38,48,54,GPE,"Countries, cities, states",,,,
0415,Serravalle,39,8,18,GPE,"Countries, cities, states",,,,
0415,Ceneda,39,23,29,GPE,"Countries, cities, states",,,,
