page,text,p,start,end,type,description,wikidata,viaf,loc,notes
107,"Thursday, September 3, 1891",1,0,27,DATE,Absolute or relative dates or periods,,,,
107,Hotel Roth,1,29,39,FAC,"Buildings, airports, highways, bridges, etc.",,,,
107,München,1,41,48,GPE,"Countries, cities, states",,,,
107,Regensberg,2,5,15,GPE,"Countries, cities, states",,,,
107,Munich,2,19,25,GPE,"Countries, cities, states",,,,
107,8.18 - 11.45,2,26,38,TIME,Times smaller than a day,,,,
107,Faust,2,45,50,WORK_OF_ART,"Titles of books, songs, etc.",,,,
107,Pinacothek,3,4,14,WORK_OF_ART,"Titles of books, songs, etc.",,,,
107,1-2,3,20,23,DATE,Absolute or relative dates or periods,,,,
107,Italian,3,46,53,NORP,Nationalities or religious or political groups,,,,
107,Francia,3,79,86,NORP,Nationalities or religious or political groups,,,,
107,Titian,3,110,116,PERSON,"People, including fictional",,,,
107,Morelli,3,118,125,PERSON,"People, including fictional",,,,
107,Franz Hals,3,159,169,PERSON,"People, including fictional",,,,
107,Sodoma,3,175,181,PRODUCT,"Objects, vehicles, foods, etc. (not services)",,,,
107,French,4,70,76,NORP,Nationalities or religious or political groups,,,,
107,Glaspalast,4,132,142,FAC,"Buildings, airports, highways, bridges, etc.",,,,
107,Salon,4,183,188,FAC,"Buildings, airports, highways, bridges, etc.",,,,
107,Three,4,216,221,CARDINAL,Numerals that do not fall under another type,,,,
107,four,4,240,244,CARDINAL,Numerals that do not fall under another type,,,,
107,five,4,248,252,CARDINAL,Numerals that do not fall under another type,,,,
107,Besnard,4,275,282,PERSON,"People, including fictional",,,,
107,two,5,5,8,CARDINAL,Numerals that do not fall under another type,,,,
107,Dagnau-Bouverets,5,13,29,PRODUCT,"Objects, vehicles, foods, etc. (not services)",,,,
107,Böcklins,5,118,126,NORP,Nationalities or religious or political groups,,,,
107,Lehnbachs,5,131,140,NORP,Nationalities or religious or political groups,,,,
107,Americans,5,160,169,NORP,Nationalities or religious or political groups,,,,
107,Spanish,5,171,178,NORP,Nationalities or religious or political groups,,,,
107,Dutch,5,180,185,NORP,Nationalities or religious or political groups,,,,
107,6,6,25,26,TIME,Times smaller than a day,,,,
107,Propylaia,6,48,57,FAC,"Buildings, airports, highways, bridges, etc.",,,,
107,Glyptothek,6,98,108,FAC,"Buildings, airports, highways, bridges, etc.",,,,
107,Parisian,6,132,140,NORP,Nationalities or religious or political groups,,,,
107,the Rosy Cross,6,170,184,ORG,"Companies, agencies, institutions, etc.",,,,
107,San Peladan,6,196,207,PERSON,"People, including fictional",,,,
107,Beauty,6,229,235,WORK_OF_ART,"Titles of books, songs, etc.",,,,
107,Besnard,6,250,257,PERSON,"People, including fictional",,,,
107,B.,6,322,324,PERSON,"People, including fictional",,,,
107,ten years,6,353,362,DATE,Absolute or relative dates or periods,,,,
107,day,6,417,420,DATE,Absolute or relative dates or periods,,,,
107,two,6,424,427,CARDINAL,Numerals that do not fall under another type,,,,
