page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0159,"Friday, November 6, 1891",1,2,26,DATE,Absolute or relative dates or periods,,,,
0159,Maximilianplatz 4,1,46,63,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0159,Vienna,1,65,71,GPE,"Countries, cities, states",,,,
0159,Janet Morison,12,28,41,PERSON,"People, including fictional",,,,
0159,the afternoon,12,45,58,TIME,Times smaller than a day,,,,
0159,"Saturday, November 7, 1891",13,0,26,DATE,Absolute or relative dates or periods,,,,
0159,Vienna,13,28,34,GPE,"Countries, cities, states",,,,
0159,B.,14,30,32,PERSON,"People, including fictional",,,,
0159,Costa,14,37,42,PERSON,"People, including fictional",,,,
0159,Wyckhoff,14,59,67,PERSON,"People, including fictional",,,,
0159,"Sunday, November 8, 1891",15,0,24,DATE,Absolute or relative dates or periods,,,,
0159,Vienna,15,26,32,GPE,"Countries, cities, states",,,,
0159,Janet,17,0,5,PERSON,"People, including fictional",,,,
