page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0355,"Friday, February 10, 1893",1,0,25,DATE,Absolute or relative dates or periods,,,,
0355,Florence,1,27,35,GPE,"Countries, cities, states",,,,
0355,A completely,2,0,12,DATE,Absolute or relative dates or periods,,,,
0355,the afternoon,2,59,72,TIME,Times smaller than a day,,,,
0355,the evening,2,124,135,TIME,Times smaller than a day,,,,
0355,Bernhard,4,0,8,PERSON,"People, including fictional",,,,
0355,the National Gallery,4,47,67,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0355,Balducci,4,74,82,PERSON,"People, including fictional",,,,
0355,Rabelais,5,14,22,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0355,Tristram Shandy,6,7,22,PERSON,"People, including fictional",,,,
0355,Ray,7,33,36,PERSON,"People, including fictional",,,,
0355,the Donatello San Giovannino,7,133,161,PRODUCT,"Objects, vehicles, foods, etc. (not services)",,,,
0355,Faenza,7,165,171,GPE,"Countries, cities, states",,,,
0355,Irene,7,185,190,PERSON,"People, including fictional",,,,
0355,Ray,7,207,210,PERSON,"People, including fictional",,,,
0355,Mary,7,234,238,PERSON,"People, including fictional",,,,
0355,Zoo,7,278,281,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0355,a hundred dollars,7,321,338,MONEY,"Monetary values, including unit",,,,
0355,Ray,7,381,384,PERSON,"People, including fictional",,,,
0355,"Saturday, February 11, 1893",8,0,27,DATE,Absolute or relative dates or periods,,,,
0355,Florence,8,29,37,GPE,"Countries, cities, states",,,,
0355,Lotto,9,10,15,ORG,"Companies, agencies, institutions, etc.",,,,
0355,Pitti,9,29,34,ORG,"Companies, agencies, institutions, etc.",,,,
0355,San Domenico,9,46,58,GPE,"Countries, cities, states",,,,
0355,Lotto,9,84,89,ORG,"Companies, agencies, institutions, etc.",,,,
0355,Costa,10,0,5,PERSON,"People, including fictional",,,,
0355,James,10,42,47,PERSON,"People, including fictional",,,,
0355,Oberyst,10,126,133,PERSON,"People, including fictional",,,,
0355,Loeser’s,11,31,39,ORG,"Companies, agencies, institutions, etc.",,,,
0355,James,11,110,115,PERSON,"People, including fictional",,,,
0355,Ekkehardt,11,223,232,PERSON,"People, including fictional",,,,
0355,Huysmans,11,254,262,PERSON,"People, including fictional",,,,
0355,Besnard,11,267,274,PERSON,"People, including fictional",,,,
0355,Doctrine,11,294,302,WORK_OF_ART,"Titles of books, songs, etc.",,,,
0355,Bernhard,12,0,8,PERSON,"People, including fictional",,,,
0355,the evening,12,15,26,TIME,Times smaller than a day,,,,
0355,Costa,12,32,37,PERSON,"People, including fictional",,,,
